reference,distorted,dmos
reference/geckos.png,jpeg/geckos.JPEG.2.png,0.047
reference/geckos.png,jpeg/geckos.JPEG.3.png,0.135
reference/geckos.png,jpeg/geckos.JPEG.4.png,0.463
reference/geckos.png,jpeg/geckos.JPEG.5.png,0.734
reference/geckos.png,jpeg2000/geckos.jpeg2000.1.png,0.022
reference/geckos.png,jpeg2000/geckos.jpeg2000.2.png,0.044
reference/geckos.png,jpeg2000/geckos.jpeg2000.3.png,0.170
reference/geckos.png,jpeg2000/geckos.jpeg2000.4.png,0.377
reference/geckos.png,jpeg2000/geckos.jpeg2000.5.png,0.617
reference/geckos.png,fnoise/geckos.fnoise.1.png,0.004
reference/geckos.png,fnoise/geckos.fnoise.2.png,0.190
reference/geckos.png,fnoise/geckos.fnoise.3.png,0.338
reference/geckos.png,fnoise/geckos.fnoise.4.png,0.451
reference/geckos.png,fnoise/geckos.fnoise.5.png,0.610
reference/geckos.png,blur/geckos.BLUR.1.png,0.013
reference/geckos.png,blur/geckos.BLUR.2.png,0.068
reference/geckos.png,blur/geckos.BLUR.3.png,0.231
reference/geckos.png,blur/geckos.BLUR.4.png,0.341
reference/geckos.png,blur/geckos.BLUR.5.png,0.570
reference/geckos.png,contrast/geckos.contrast.1.png,0.105
reference/geckos.png,contrast/geckos.contrast.2.png,0.239
reference/geckos.png,contrast/geckos.contrast.3.png,0.452
reference/lady_liberty.png,awgn/lady_liberty.AWGN.1.png,0.032
reference/lady_liberty.png,awgn/lady_liberty.AWGN.2.png,0.151
reference/lady_liberty.png,awgn/lady_liberty.AWGN.3.png,0.255
reference/lady_liberty.png,awgn/lady_liberty.AWGN.4.png,0.384
reference/lady_liberty.png,awgn/lady_liberty.AWGN.5.png,0.487
reference/lady_liberty.png,jpeg/lady_liberty.JPEG.1.png,0.017
reference/lady_liberty.png,jpeg/lady_liberty.JPEG.2.png,0.274
reference/lady_liberty.png,jpeg/lady_liberty.JPEG.3.png,0.532
reference/lady_liberty.png,jpeg/lady_liberty.JPEG.4.png,0.655
reference/lady_liberty.png,jpeg/lady_liberty.JPEG.5.png,0.770
reference/lady_liberty.png,jpeg2000/lady_liberty.jpeg2000.1.png,0.031
reference/lady_liberty.png,jpeg2000/lady_liberty.jpeg2000.2.png,0.267
reference/lady_liberty.png,jpeg2000/lady_liberty.jpeg2000.3.png,0.509
reference/lady_liberty.png,jpeg2000/lady_liberty.jpeg2000.4.png,0.763
reference/lady_liberty.png,jpeg2000/lady_liberty.jpeg2000.5.png,0.907
reference/lady_liberty.png,fnoise/lady_liberty.fnoise.1.png,0.032
reference/lady_liberty.png,fnoise/lady_liberty.fnoise.2.png,0.193
reference/lady_liberty.png,fnoise/lady_liberty.fnoise.3.png,0.352
reference/lady_liberty.png,fnoise/lady_liberty.fnoise.4.png,0.505
reference/lady_liberty.png,fnoise/lady_liberty.fnoise.5.png,0.642
reference/lady_liberty.png,blur/lady_liberty.BLUR.1.png,0.059
reference/lady_liberty.png,blur/lady_liberty.BLUR.2.png,0.227
reference/lady_liberty.png,blur/lady_liberty.BLUR.3.png,0.462
reference/lady_liberty.png,blur/lady_liberty.BLUR.4.png,0.673
reference/lady_liberty.png,blur/lady_liberty.BLUR.5.png,0.966
reference/lady_liberty.png,contrast/lady_liberty.contrast.1.png,0.092
reference/lady_liberty.png,contrast/lady_liberty.contrast.2.png,0.305
reference/lady_liberty.png,contrast/lady_liberty.contrast.3.png,0.641
reference/lake.png,awgn/lake.AWGN.1.png,0.022
reference/lake.png,awgn/lake.AWGN.2.png,0.137
reference/lake.png,awgn/lake.AWGN.3.png,0.295
reference/lake.png,awgn/lake.AWGN.4.png,0.437
reference/lake.png,awgn/lake.AWGN.5.png,0.536
reference/lake.png,jpeg/lake.JPEG.1.png,0.021
reference/lake.png,jpeg/lake.JPEG.2.png,0.079
reference/lake.png,jpeg/lake.JPEG.3.png,0.156
reference/lake.png,jpeg/lake.JPEG.4.png,0.429
reference/lake.png,jpeg/lake.JPEG.5.png,0.730
reference/lake.png,jpeg2000/lake.jpeg2000.1.png,0.065
reference/lake.png,jpeg2000/lake.jpeg2000.2.png,0.167
reference/lake.png,jpeg2000/lake.jpeg2000.3.png,0.248
reference/lake.png,jpeg2000/lake.jpeg2000.4.png,0.408
reference/lake.png,jpeg2000/lake.jpeg2000.5.png,0.682
reference/lake.png,fnoise/lake.fnoise.1.png,0.125
reference/lake.png,fnoise/lake.fnoise.2.png,0.290
reference/lake.png,fnoise/lake.fnoise.3.png,0.440
reference/lake.png,fnoise/lake.fnoise.4.png,0.571
reference/lake.png,fnoise/lake.fnoise.5.png,0.659
reference/lake.png,blur/lake.BLUR.1.png,0.074
reference/lake.png,blur/lake.BLUR.2.png,0.163
reference/lake.png,blur/lake.BLUR.3.png,0.296
reference/lake.png,blur/lake.BLUR.4.png,0.470
reference/lake.png,blur/lake.BLUR.5.png,0.655
reference/lake.png,contrast/lake.contrast.1.png,0.094
reference/lake.png,contrast/lake.contrast.2.png,0.265
reference/lake.png,contrast/lake.contrast.3.png,0.410
reference/lake.png,contrast/lake.contrast.4.png,0.506
reference/log_seaside.png,awgn/log_seaside.AWGN.1.png,0.000
reference/log_seaside.png,awgn/log_seaside.AWGN.2.png,0.057
reference/log_seaside.png,awgn/log_seaside.AWGN.3.png,0.132
reference/log_seaside.png,awgn/log_seaside.AWGN.4.png,0.267
reference/log_seaside.png,awgn/log_seaside.AWGN.5.png,0.442
reference/log_seaside.png,jpeg/log_seaside.JPEG.1.png,0.000
reference/log_seaside.png,jpeg/log_seaside.JPEG.2.png,0.009
reference/log_seaside.png,jpeg/log_seaside.JPEG.3.png,0.038
reference/log_seaside.png,jpeg/log_seaside.JPEG.4.png,0.269
reference/log_seaside.png,jpeg/log_seaside.JPEG.5.png,0.639
reference/log_seaside.png,jpeg2000/log_seaside.jpeg2000.1.png,0.000
reference/log_seaside.png,jpeg2000/log_seaside.jpeg2000.2.png,0.045
reference/log_seaside.png,jpeg2000/log_seaside.jpeg2000.3.png,0.160
reference/log_seaside.png,jpeg2000/log_seaside.jpeg2000.4.png,0.394
